artist,title
Y?N-Vee,Chocolate
Fu-Schnickens,Breakdown
Heavy D & The Boyz,Black Coffee
Keith Murray,The Most Beautifullest Thing In This World
Patti LaBelle,All This Love
Horace Brown,Taste Your Love
Mary J. Blige,Be Happy
Blackgirl,Where Did We Go Wrong
Silk,"I Can Go Deep (From ""A Low Down Dirty Shame"")"
CeCe Peniston,Hit By Love
Raja-Nee,Turn It Up
TLC,Creep
Brownstone,If You Love Me
Casserine Featuring Cato,Why Not Take All Of Me
Gerald Levert,Can't Help Myself
Chante Moore,Old School Lovin'
Changing Faces,Foolin' Around
Boyz II Men,On Bended Knee
Scarface,I Never Seen A Man Cry (aka I Seen A Man Die)
Luther Vandross,Always And Forever
Zhane,"Shame (From ""A Low Down Dirty Shame"")"
Whitehead Bros.,"Forget I Was A ""G"""
Jade,Every Day Of The Week/If The Mood Is Right
Karyn White,Can I Stay With You
Warren G,Do You See
Anita Baker,I Apologize
Immature,Constantly
Method Man,Bring The Pain
N2U,I Miss You
Vanessa Williams,The Sweetest Days
Tevin Campbell,Don't Say Goodbye Girl
Howard Hewett,This Love Is Forever
Aaliyah,Age Ain't Nothing But A Number
Jewell,"Woman To Woman (From ""Murder Was The Case"")"
Subway (Featuring 702),This Lil' Game We Play
Missjones,Where I Wanna Be Boy
Nuttin' Nyce,"Down 4 Whateva (From ""A Low Down Dirty Shame"")"
Soul For Real,Candy Rain
Craig Mack,Get Down
69 Boyz,Kitty Kitty
Nine,Whutcha Want?
The Notorious B.I.G.,Big Poppa/Warning
Trisha Covington,Why You Wanna Play Me Out?
C+C Music Factory Featuring Trilogy,Take A Toke
Lo-Key?,Tasty
El DeBarge,Slide
Too $hort,Cocktales
Christopher Williams,Dance 4 Me
All-4-One,(She's Got) Skillz
Brandy,Baby
Vicious,Nika
Adina Howard,Freak Like Me
Usher,Think Of You
Shabba Ranks,Let's Get It On
Channel Live,Mad Izm
The Sounds Of Blackness,I'm Going All The Way
K-Ci Hailey,If You Think You're Lonely Now
Montell Jordan,This Is How We Do It
BeBe & CeCe Winans,Love Of My Life
Madonna,Take A Bow
Johnny Guitar Watson,Hook Me Up
Gerald Levert,Answering Service
Stevie Wonder,For Your Love
Boyz II Men,Thank You
Bone Thugs-N-Harmony Featuring Eazy-E,Foe Tha Love Of $
Barry White,Come On
Portrait,I Can Call You
Capleton,Tour
Mint Condition,So Fine
TLC,Red Light Special
Blackgirl,Let's Do It Again
2Pac,Dear Mama
Fabu,Just Roll
Ol' Dirty Bastard,Brooklyn Zoo
Freddie Jackson,Rub Up Against You
Phil Perry,If Only You Knew
Kut Klose,I Like
Scarface Feat. Ice Cube,People Don't Believe
Keith Murray,Get Lifted
Brian McKnight,"Crazy Love (From ""Jason's Lyric"")"
Dr. Dre,"Keep Their Heads Ringin' (From ""Friday"")"
Raphael Saadiq,"Ask Of You (From ""Higher Learning"")"
The Whispers,Make Sweet Love To Me
Luther Vandross,Going In Circles/Love The One You're With
Zhane,You're Sorry Now
BLACKstreet,Joy
Monteco (Featuring Immature),Is It Me?
Gladys Knight,Next Time
Rappin' 4-Tay Featuring The Spinners,I'll Be Around
Mary J. Blige,I'm Goin' Down
Total Featuring The Notorious B.I.G.,"Can't You See (From ""New Jersey Drive"")"
H-Town,Emotions
Anita Baker,It's Been You
IV Xample,I'd Rather Be Alone
Jesse,When U Cry I Cry
Da Brat,Give It 2 You
Keith Martin,Never Find Someone Like You
Naughty By Nature,Craziest
Brownstone,Grapevyne
Various Artists,"Freedom (From ""Panther"")"
Diana King,"Shy Guy (From ""Bad Boys"")"
Vanessa Williams,The Way That You Love
Boyz II Men,Water Runs Dry
Monica,Don't Take It Personal (Just One Of Dem Days)
Vybe,Take It To The Front
Method Man Featuring Mary J. Blige,I'll Be There For You/You're All I Need To Get By
Soul For Real,Every Little Thing I Do
Jon B. Featuring Babyface,Someone To Love
Changing Faces,Keep It Right There
Subway,Fire
Joya,I Like What You're Doing To Me
Masta Ace Incorporated,The I.N.C. Ride
Sam Sneed Featuring Dr. Dre,U Better Recognize
Nuttin' Nyce,Froggy Style
Tony Thompson,I Wanna Love Like That
Lorenzo,If It's Alright With You
"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",Freak Me Baby
Shaggy,Boombastic/In The Summertime
Brandy,Best Friend
Tina Moore,Never Gonna Let You Go
Vertical Hold,Love Today
Karyn White,I'd Rather Be Alone
TLC,Waterfalls
Jodeci,Freek'n You
Naughty By Nature,Feel Me Flow
Sean Levert,Put Your Body Where Your Mouth Is
Mary J. Blige,You Bring Me Joy/I Love You
MoKenStef,He's Mine
Immature,I Don't Mind
Smooth,Mind Blowin'
Michael Jackson & Janet Jackson,Scream
D'Angelo,Brown Sugar
The Notorious B.I.G.,One More Chance/Stay With Me
Xscape,Feels So Good
Luniz,I Got 5 On It
E-40 (Featuring Suga T),Sprinkle Me
Faith Evans,You Used To Love Me
2Pac,So Many Tears
Mack 10,Foe Life
U.N.V.,So In Love With You
After 7,'Til You Do Me Right
Pure Soul,We Must Be In Love
Ol' Dirty Bastard,Shimmy Shimmy Ya
Chef Raekwon,Criminology/Glaciers Of Ice
Adina Howard,My Up And Down
Jody Watley,Affection
All-4-One,I Can Love You Like That
AZ,Sugar Hill
Ini Kamoze,Listen Me Tic (Woyoi)
Junior M.A.F.I.A.,Player's Anthem
Brownstone,I Can't Tell You Why
Usher,The Many Ways
Brian McKnight,On The Down Low
Patra,Pull Up To The Bumper
William Becton And Friends,Be Encouraged
Solo,Heaven
Montell Jordan,Somethin' 4 Da Honeyz
Groove Theory,Tell Me
Skee-Lo,I Wish
Jason Weaver,Love Ambition (Call On Me)
BLACKstreet,Tonight's The Night
Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")"
Aaron Hall,"Curiosity (From ""Dangerous Minds"")"
Bone Thugs-N-Harmony,1st Of Tha Month
Vybe,Warm Summer Daze
Michael Jackson,You Are Not Alone
Redman/Method Man,"How High (From ""The Show"")"
Deborah Cox,Sentimental
Boyz II Men,Vibin'
Phil Perry,Love Don't Love Nobody
Regina Belle,Love T.K.O.
Brandy,Brokenhearted
Vanessa Williams,You Can't Run
The Dove Shack,"Summertime In The LBC (From ""The Show"")"
Janet Jackson,Runaway
KRS-One,MC's Act Like They Don't Know
A Few Good Men,Tonite
Pebbles,Are You Ready?
Jon B,Pretty Girl
Prince,I Hate U
Immature,"Feel The Funk (From ""Dangerous Minds"")"
Shai,Come With Me
Mariah Carey,Fantasy
"Gerald Levert & Eddie Levert, Sr.",Already Missing You
2Pac,Temptations
Das EFX,Real Hip Hop
Tony Thompson,Handle Our Business
Xscape,Who Can I Run To
Goodie Mob,Cell Therapy
3T,Anything
Monica,Before You Walk Out Of My Life/Like This And Like That
D'Angelo,Cruisin'
Salt-N-Pepa,Ain't Nuthin' But A She Thing
Raekwon,Incarcerated Scarfaces/Ice Cream
Mary J. Blige,"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")"
Erick Sermon,Bomdigi
Genius/GZA,Liquid Swords
Monifah,"I Miss You (Come Back Home) (From ""New York Undercover"")"
Tina Moore,All I Can Do
Blahzay Blahzay,Danger
Silk,Hooked On You
Terry Ellis,Where Ever You Are
Jodeci,Love U 4 Life
Quincy Jones Introducing Tamia,You Put A Move On My Heart
The Pharcyde,Runnin'
WC & The Maad Circle,West Up!
LL Cool J,Hey Lover
The Click,Hurricane
Method Man,"The Riddler (From ""Batman Forever"")"
Pure Soul,I Want You Back
After 7,Damn Thing Called Love
R. Kelly,You Remind Me Of Something
TLC,Diggin' On You
Intro,Funny How Time Flies
Anointed,It's In God's Hands Now
Mystikal,Y'All Ain't Ready Yet
Whitney Houston,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")"
Asante,Look What You've Done
Brian McKnight,Still In Love
Mariah Carey & Boyz II Men,One Sweet Day
Boyz II Men,I Remember
Jesse & Trina,"Where Is The Love (From ""Dead Presidents"")"
Junior M.A.F.I.A. Featuring Aaliyah,I Need You Tonight
Faith Evans,Soon As I Get Home
Kris Kross,Tonite's Tha Night
Immature (Featuring Smooth),We Got It
Coolio,Too Hot
Kool G Rap,Fast Life
Kut Klose,Surrender
Will Downing,"Sorry, I"
Total,No One Else
Bone Thugs-N-Harmony,East 1999
Eazy-E,Just Tah Let U Know
Island Inspirational All Stars,"Don't Give Up (From ""Don't Be A Menace..."")"
M.C. Hammer Feat. Angel Burgess & The San Jose Community Choir,Goin' Up Yonder
The Tony Rich Project,Nobody Knows
L.V.,Throw Your Hands Up
Brandy,"Sittin' Up In My Room (From ""Waiting To Exhale"")"
Solo,Where Do U Want Me To Put It
Somethin' For The People,You Want This Party Started
Tha Dogg Pound Featuring Michel'le,Let's Play House
Shawn Stockman,"Visions Of A Sunset (From ""Mr. Holland's Opus"")"
Fugees,Fu-Gee-La
Mary J. Blige,"Not Gon' Cry (From ""Waiting To Exhale"")"
Al Green,Your Heart's In Good Hands
